Grp	Use	Mid	1	2	3	4	5
			V	V	V	V	V
Control	x	C1	1.02	1.77	3.13	3.47	3.63
Control	x	C2	1.08	1.64	3.23	3.68	4.03
Control	x	C3	1.15	2.68	2.68	2.58	3.44
Control	x	C4	1.03	1.89	2.36	2.67	2.70
Control	x	C5	1.92	1.95	2.45	3.17	3.43
Control	x	C6	1.47	1.71	2.06	2.83	3.14
Control	x	C7	1.77	2.45	2.69	3.83	3.73
Control	x	C8	1.20	1.53	1.89	1.98	2.55
Drug	x	D1	1.38	2.56	2.69	2.80	1.88
Drug	x	D2	1.63	1.81	2.13	3.27	2.21
Drug	x	D3	1.21	1.73	1.8	2.41	0.85
Drug	x	D4	1.70	2.10	2.00	3.10	1.45
Drug	x	D5	1.07	1.56	2.06	2.18	1.43
Drug	x	D6	1.18	1.45	2.09	2.28	0.97
Drug	x	D7	1.58	2.69	2.54	2.98	2.90
Drug	x	D8	1.65	2.13	2.96	3.93	1.85
